"TERMINAL";"NUMÉRO TC";"ISO";"STATUT V/P";"POIDS BRUT";"EXPLOITANT";"CYCLE";"ALLOTISSEMENT"
GO;AGNU2001231;"22G1";V ;2200.000;MAERSK    ;I ;GOVDD03318
GO;AGNU2001247;"22G1";V ;2200.000;MAERSK    ;I ;GOVDD04319
GO;AGNU2001627;"22G1";V ;2200.000;MAERSK    ;I ;GOVDD04317
GO;AGNU2001695;"22G1";V ;2200.000;MAERSK    ;I ;GOVDD08318
GO;AMCU4504023;"42U1";V ;3800.000;CMA       ;  ;GORPRP1059
GO;AMFU3162415;"2210";V ;2250.000;MSC       ;  ;GORARA2198
GO;AMFU4241294;"42P3";V ;4500.000;CMA       ;I ;GOVII01561
GO;AMFU4243023;"42P1";V ;4500.000;CMA       ;I ;GOCMB  L 2
GO;AMFU5008522;"42U1";V ;3800.000;MARFRET   ;I ;GORARA2089
GO;APHU6806561;"45G1";V ;3900.000;CMA       ;  ;GORPRP1143
GO;APHU7017995;"45G1";V ;3900.000;CMA       ;  ;GOVII02535
GO;APHU7193736;"45G1";V ;3900.000;CMA       ;  ;GORPRP1021
GO;APRU5707081;"45R1";V ;4500.000;CMA       ;  ;GORPRP1033
GO;APRU5754083;"45R1";V ;4500.000;CMA       ;I ;GORPRP1134
GO;APRU5754798;"45R1";V ;4500.000;CMA       ;  ;GOBLA  3 1
GO;APRU5778552;"45R1";V ;4500.000;CMA       ;I ;GORPRP1148
GO;APRU5788479;"45R1";V ;4500.000;CMA       ;  ;GOVII03361
GO;APRU5791981;"45R1";V ;4500.000;CMA       ;  ;GOVII05521
GO;APRU5814834;"45R1";V ;4500.000;CMA       ;  ;GOBLA  4 1
GO;APRU5824489;"45R1";V ;4500.000;CMA       ;I ;GORPRP1132
GO;APRU5851761;"45R1";V ;4500.000;CMA       ;  ;GORPRP1146
GO;APRU6114938;"45R1";V ;4500.000;CMA       ;  ;GORPRP1084
GO;APZU3365547;"22G1";V ;2200.000;CMA       ;  ;GORPRP1179
GO;APZU3572502;"22G0";V ;2180.000;CMA       ;  ;GOVII01534
GO;APZU3586281;"22G0";V ;2180.000;CMA       ;  ;GORPRP1096
GO;APZU3672965;"22G1";V ;2200.000;CMA       ;  ;GORPRP1092
GO;APZU3716718;"22G1";V ;2200.000;CMA       ;  ;GOVII01531
GO;APZU3729335;"22G1";V ;2200.000;CMA       ;  ;GORPRP1044
GO;APZU3829329;"22G0";V ;2180.000;CMA       ;  ;GOVPP01041
